,Question,Answer,Sentiment (Positive / Negative / Neutral / Ambiguous)
180755,"What could the instructor improve?
","Nothing (2 Counts)
",Neutral
283352,"What could the instructor improve?
","Nothing, she was great
",Positive
409191,"What were the strongest features of this class?
","Clearly defined assignments and expectations.
",Positive
571333,"What could the instructor do to improve the class?
","The class was structured well and the only thing I would improve would be meeting once a week rather than twice.
",Neutral
490731,"Please provide your specific comments elaborating on your responses and other aspects of your instructor's teaching performance
and/or course.
","This Instructor was one of the best (if not the best, I have ever had). The class was very organized and well structured, between the
lecture video, class discussion, and inclass speaker's.
",Positive
57478,"Please provide your specific comments elaborating on your responses and other aspects of your instructor's teaching performance
and/or course.
","The professor's instructions for homework assignments is vague and many classmates get confused. She does not like answer questions,
so it can get tricky. But, overall she is a very nice professor to her students and knows a lot about public relations. 
",Neutral
389230,"What did the instructor do well?
","Clear lecture
",Positive
565240,"Other comments
","The professor did an amazing job in teaching this course. I would totally recommend it. Was so helpful and knowledgeable.
",Positive
154052,"Explain whether you learned as much as you expected in this class given the amount of effort put into it.
","Learned everything I needed
",Positive
293272,"Please provide an example illustrating how the course challenged you by providing new insights into the subject matter through the
use of interpretation, analysis and/or comparison.
","every class my professor will get lot of time for us to get each other's opinions.
",Positive
559459,"What were the strongest features of this class?
","connection of materials to things happening in real time
",Positive
451608,"Please provide an example and/or an explanation that illustrates your overall rating of this instructor.
","All chapters covered and explained detailed.
",Positive
519964,"Please use the space below to provide additional comments about the instruction in this course. If you wish, include comments about
what you think the instructor has done particularly well, suggestions for possible improvements or changes, and/or explanations for
your responses to the above statements. Thank you.
","Professor <Faculty Name> is the best English teacher. She responds to emails right away and is very helpful. Office hours have been extremely
useful. Professor <Faculty Name> guides you through your essay.  I honestly wouldn't have done well if I didn't go to office hours. Best Class!
",Positive
216963,"Your instructor would like to know whether there is something you believe he/she has done especially well in his/her teaching of this
course.
","I like her lectures, and her explanation of statistic problems are very clear.
",Positive
282329,"Please provide an example illustrating how the professor encouraged questions and/or discussion.
","He always allowed students to voice any questions or concerns. Very engaged when asked a question as well.
",Positive
525263,"Please write any comments in the box below.
","thank you
",Positive
453914,"What could the instructor do to have improved the course?
","I am not a fan of asynchronous lectures.
",Negative
225088,"Please write additional comments below.
","No additional comments needed
",Neutral
415498,"Please give us your comments on the instructor's performance in this course. If you wish, include such matters as what you think the
instructor has done well, suggestions for possible changes, or explanations regarding your answers to the questions on the other side
of this page
","Great Professor
",Positive
57602,"What could the instructor do to have improved the course of your learning experience?
","Clarify some of the instructions like the one discussion board post we were supposed to do.
",Neutral
76412,"The instructor (for example, lecture style, attitude towards students, teaching methods).
","very enthusiastic. passionate about chemistry
",Positive
155419,"5) What do you think were the strongest features of the course?
","The fact that you had to read and post about certain questions the professor would upload.
",Positive
28881,"What did the instructor do well?
","Very well structured class and straightforward. 
",Positive
229614,"Your instructor would like to know whether there is something you believe he/she has done especially well in his/her teaching of this
course.
","I liked the way your exams were structured, and I felt they were overall pretty fair. Additionally, I think your reviews and quizzes were very
helpful in knowing what to expect of the class and exams.
",Positive
443554,"Explain whether you learned as much as you expected in this class given the amount of effort put into it.
","I did learn as much as I had expected out of this class.
",Positive
176555,"Your instructor would like to know whether there is something you believe he/she has done especially well in his/her teaching of this
course.
","She has done a great job teaching the material and going over whatever is necessary in order for students to understand. She also goes
at a good pace. Not too fast or slow.
",Positive
76178,"What could the instructor improve?
","her attire
",Neutral
300079,"Do you have other comments?
","The class was not a difficult class, just a bad one.
",Negative
103337,"The instructor (for example, lecture style, attitude towards students, teaching methods).
","always prepared for lecture, group exercises and pair shares beneficial.
",Positive
373893,"The instructor (for example, lecture style, attitude towards students, teaching methods).
","I liked how she gave a lot of time in class to complete the group activities for the week. She also encouraged questions and checked up on
the groups a lot.
",Positive
209534,"Your instructor would like to know your opinion about the textbook and/or other reading materials.
","They were fine. Nothing to complain about.
",Neutral
537759,"Other Comments:
","Great class.
",Positive
522584,"Other Comments:
","Amazing professor!
",Positive
210428,"Please provide an example illustrating how the professor encouraged questions and/or discussion.
","Most of the class was just a lecture so we didn't spend that much time with discussions. However, he did give clear explanations for our
questions.
",Neutral
122015,"Please provide any comments about the faculty member's teaching ability:
","Very supportive
",Positive
455128,"In your opinion, what did the instructor do that you found particularly helpful or worthwhile?
","In my opinion, the instructor would make videos for the dances and upload on canvas it was helpful since she would put them in different
tempos.
",Positive
329041,"Elaborate on any point evaluated above or anything else relevant to the quality of the course or instructor.
","The instructor did very well teaching the course. She might have given a lot of work as we transitioned to virtual. The amount of work was
much less in person than online but I liked how she provided class material to be available a head of time, that was great. I really liked how
she responded very quickly to emails and takes the time to answer every question in great detail. I like how the professor provided step by
step resources for class work. I truly liked how attentive she was with her students so that they all can be successful in class. I have never
taken a professor like her and she is the type of professor whom I would like to be in the future. I am really glad I got to meet her and take
this course with her.
",Positive
335202,"Please write any comments in the box below.
","Overall, Professor <Faculty Name> was probably one of the best professors I have ever had. She is super sweet, funny, and caring. She is very
knowledgable of the class and knows exactly what she is teaching us. She got the class to think beyond what we already know and to
question things. The environment she provided was so welcoming and I strongly recommend her to my friends to take her classes.
",Positive
530380,"What did the instructor do well?
","Instructor did an excellent job of teaching a data based class through an online format. They were always willing to answer questions and
offer maximum help. Thank you for giving us so many opportunities to earn credit in the class, we appreciate it since this can be
considered one of the more difficult marketing classes.
",Positive
387960,"Please provide your specific comments elaborating on your responses and other aspects of your instructor's teaching performance
and/or course.
","This professor is fair and organized. It is a straightforward class and she really encourages class engagement which makes it easier to
understand the topics.
",Positive
66617,"Please provide an example and/or explanation that illustrates the extent to which the instructor created an environment suitable for
learning.
","The instructor encouraged class participation and allowed the students to choose which topics they were struggling with so that they could
receive enlightenment from both the instructor and their peers.
",Positive
204133,"Please write your additional comments about the class in the box.  Your constructive comments are appreciated.
","Great class, very organized
",Positive
533364,"What were the strongest features of this class?
","The class's strongest feature was the outside activities that Professor <Faculty Name> added for us that connected with the learning lesson of the
week.
",Positive
567005,"Please provide an example and/or an explanation that illustrates your overall rating of this instructor.
","Professor <Faculty Name> made his lectures straight forward and showed interest in this topic which made it such an interesting class to learn
about. I really enjoyed his class and the discussion post questions were great. They really got me thinking and I liked that he did not force
us to answer questions we were not comfortable answering and gave us options to answer 3 that we are most comfortable answering. I
found that there were questions I was okay answering and allowed me to open up more.
",Positive
588213,"What could the instructor do to have improved the course?
","She did a great job, nothing to improve.
",Positive
105234,"What could the instructor do to have improved the course?
","For the Discussion Posts for the theories and the Readings maybe providing an example what you are looking for? I think in the beginning
I was a little confused as to what you were exactly looking for but as the semester progressed that when I finally got the hang of it!
",Neutral
597196,"What feedback would you like to provide the instructor about teaching effectiveness and/or course content?
","I enjoyed Professor <Faculty Name>'s class very much. I learned a lot about thinking about my teaching practices, different literature, and promoting
literacy in an inclusive way and culturally aware manner. The Professor was so caring and tried to make sure we were engaged every
class and getting the most out of every class.
",Positive
403677,"What could the instructor do to have improved the course learning experience?
","Like more poses instruction on PPT
",Neutral
22023,"Please write any comments in the box below.
","Amazing as always. She is really great at what she does. She explains the science and mechanisms of things very well so I can
understand. I really appreciate her and how she goes above and beyond for her students 
",Positive
161873,"Please provide an example and/or an explanation that illustrates your overall rating of this instructor.
","Really good professor.
",Positive
131873,"Your instructor would like to know whether there is something you believe he/she has done especially well in his/her teaching of this
course.
","The explanations of the concepts were always very thorough and helpful.
",Positive
525525,"7) Do you have other comments?
","Dr. <Faculty Name> did an AMAZING job creating an online class. Honestly one of the best classes I took this semester.
",Positive
391736,"Please use the space below to provide additional comments about the instruction in this course. If you wish, include comments about
what you think the instructor has done particularly well, suggestions for possible improvements or changes, and/or explanations for
your responses to the above statements. Thank you.
","Great class wouldn't change anything.
",Positive
395230,"Other Comments:
","Overall a great class.
",Positive
461153,"5) What do you think were the strongest features of the course?
","The lectures. (2 Counts)
",Positive
348276,"Additional Comments:
","This class is difficult, I don't know if there is much to help improve.
",Negative
342221,"What could the instructor improve?
","making his lectures more interesting
",Neutral
593628,"Your instructor would also like to know what specific things you believe might be done to improve his/her teaching of this course.
","When an assignment is due soon, I believe a check in reminder email would be great to make sure that no one misses the assignment
because my classmates and I might miss a take home quiz or a preclass assignment due to it being near the bottom of Titanium website
and not being able to find it right away.
",Neutral
221142,"What were the strongest features of this class?
","The way she ran the class, made it super interesting and engaging.
",Positive
296364,"What did the instructor do well?
","He does well with engaging the class and cares about his students a lot. He really wants us all to succeed and understand the material to
do well.
",Positive
317510,"Was this a challenging course? Explain.
","It was challenging when it came to the exams of course because some of my classmates and I were not sure what to look over and study
for.
",Negative
53327,"Your instructor would also like to know what specific things you believe might be done to improve his/her teaching of this course.
","Sometimes her explanations of difficult concepts seemed more complex than they needed to be.  
",Negative
423105,"Your instructor would also like to know if you wish to suggest any specific things you believe might be done to improve his/her teaching
of this course.
","For me personally, I was not fond of having to record ourselves for the group projects. That's because I live in a very loud household which
made it difficult to record myself.
",Negative
260871,"What did the instructor do that you found particularly helpful?
","She provided supplemental video to help us understand the concepts better.
",Positive
537908,"Are there things you believe your instructor has done especially well and/r poorly in teaching this course?
","Not enough interaction to stimulate learning
",Neutral
159330,"Please provide your specific comments elaborating on your responses and other aspects of your instructor's teaching performance
and/or course.
","The same goes with having an emergency come up and attendance not graded or checked would mean, if an EMERGENCY comes up, I
wouldn't be marked absent.
",Positive
402399,"What could the instructor do to have improved the course learning experience?
","nada
",Ambiguous
32595,"Please provide an example and/or an explanation that illustrates the instructor's academic standards for this course. Please also
provide an example and/or an explanation that illustrates the extent to which the instructor met his/her teaching responsibilities by
starting class on time, being available during office hours, returning assignments promptly and using class time effectively.
","He is very organized and always mentions that if students are struggling, his office hours are open and he's available.  
",Positive
384298,"What were the strongest features of this class?
","Professor <Faculty Name>'s keynotes during the lecture were extremely helpful.
",Positive
38808,"What did the instructor do well?
","Professor Kleindients provided a lot of real life related lessons that might help the students later on in the professional world. Along with
those lessons, the case analysis assignments are quite interesting and fun to complete. They go quite well with the lessons. I truly enjoyed
working on those cases. Hopefully they will have more impact on the overall grade, considering the amount of efforts they required to
complete.
",Positive
497307,"Please provide an example illustrating how the course challenged you by providing new insights into the subject matter through the
use of interpretation, analysis and/or comparison.
","The course is challenging because there are many things you need to memorize.
",Negative
342100,"Please provide your specific comments elaborating on your responses and other aspects of your instructor's teaching performance
and/or course.
","<Faculty Name> is very passionate about film and teaching it. You can tell by the enthusiasm in his voice and his body language. He explains
everything in deep detail and keeps the class engaged. His class was enjoyable and I learned a lot. I like when he showed us samples of
commercials and film clips. Very interactive class. Overall, amazing professor and class.
",Positive
234702,"What did the instructor do well?
","Went over every detail in the chapters. Always willing to help students that had questions
",Positive
428733,"What did the instructor do that you found particularly helpful or worthwhile?
","Best structured class during COVID. I feel though many instructors fear this kind of organization because it relies on the student putting in
effort into time management but I believe since a lot of collaboration was needed for the sections it pushed us to really learn the subject so
that we can collab better. Great class.
",Positive
255099,"(Optional) Please make written comments which you believe may aid the instructor to maintain current high standards or which you
feel will help to improve course. If a grade of C or lower is given to any of the above questions, the instructors would benefit from
written comments.  Please write comments only in box below.
","Having been exposed to art and taken art classes before, I found this course a bit confusing. I understand that it is not a ""drawing and
painting"" class, but the structure to me did not make much sense. I thought the course would have progressed in a more linear fashion, but
it seemed to kind of go all over the place. For instance, I took a Music 100 class that began with the beginning of music and ended at
music today; I thought this class being at the 100 level would have been more like that, going through the history of art and its various
movements. Also, it was not really made clear how mandatory the book was and there were no slides to follow along with, a resource that
most classes provide but seemed for the most part absent from this class. I feel this class could have been more enjoyable and made
more sense if it was made explicit, what chapters or units it was following along with and how the individual lessons relate to the course as
a whole.
",Negative
316689,"What could you have done to make your learning experience in this course better?
","I should have found more time to practice on my own.
",Positive
266578,"Please provide comments explaining how well the instructor did in following grading and other policies stated in the syllabus.
","Our first exam was graded based on grammar as well as content. No where states that grammar and spelling would be taken into account
during a timed test. Test also wasn’t graded on a rubric. There were 10 questions on the test, out of 100 points, and I received -11 for
getting a question wrong. That makes no sense to me. Absolutely inconsistent grading across the board.
",Negative
88149,"Please provide comments explaining how well the instructor created an environment that encouraged learning.
","Perfect
",Positive
392582,"What did the instructor do that you found particularly helpful?
","The instructor organized the course effectively on the Titanium website and always provided us with additional material to enforce our
learning experience. She also always emailed back in a timely manner and seemed to care about her students.
",Positive
446971,"Please write any comments in the box below.
","In the beginning the class was way too long and did not feel like a good use of time. Over time the class got shorter which made it better.
The class still feels a little off and it don't feel super supported. That is partially just COVID and the online nature of everything though. It is
hard to have check in conversations as a big group cause it is so time consuming and I wish we did break out groups over large group
check ins
",Neutral
11404,"Would you recommend that other students take this course from this instructor? Briefly explain.
","I would recommend it because she presented us with very good information about each week's topics, and she made it interesting.
",Positive
358636,"Please give feedback on what you liked about the instructor.
","Very knowledgeable and willing to go over examples thoroughly
",Positive
81392,"Please provide an example and/or explanation that illustrates the extent to which the instructor's lectures were clear and organized.
","The professor provided with an outline of what our homework is expected to look like and what information should be in it. 
",Positive
243971,"What could the instructor improve?
","I enjoyed this professor a lot and I truly believe there are no improvements to be made.
",Positive
482799,"Please provide an example illustrating how the course challenged you by providing new insights into the subject matter through the
use of interpretation, analysis and/or comparison.
","There were many topics (i.e. past presidents, Korean war, immigration policies) that I thought I was well informed about, but after doing the
research required for assignments my view of these topics changed.
",Neutral
73861,"You may explain your yes/no answer to question number 1.2 in the space below.
","1.4)
",Ambiguous
435245,"What are the major strengths of the instructor of this course?
","The topics discussed were relevant to what's happening today.
",Positive
466630,"Please write your additional comments about the class in the box.  Your constructive comments are appreciated.
","I think the professor should have a better way to communicate with his students because I would literally email him on outlook or <Faculty Name>,
and I would get no response back, I work, so I wouldn't be able to attend some of the class meetings but even if I did attend, he didn't
really go over that week's assignments or plans. The class was not at all organized and was just, in my opinion, a waste of time. I didn't
learn or retain anything from this class. The assignments like discussions or writing responses informed me about some different cultures
or art forms, but I can't say he taught me anything. I wish he would just have a more organized page on canvas cause sometimes, his
instructions were vague or didn't make much sense so I could never reach him to clarify his instructions on time because he would never
answer. His grading sometimes was never clear or fair, I never really understood what requirements he wanted me to reach or what he
expected from me. I cannot say I enjoyed the class. I came to learn and came out with no knowledge. I would not recommend his class
specifically to other people.
",Negative
3206,"What did the instructor do that you found particularly helpful?
","The professor provided students with slides and that he would voice record and explain the video.  
",Positive
443373,"Would you recommend to other students that they take this lab/field from this instructor? Briefly explain.
","Yes, I would definitely recommend Mr. <Faculty Name>. He is very kind and understanding and does a good job of keeping you up to date.
",Positive
495891,"You may explain your yes/no answer to question number 4 in the space below.
","I was exposed to new things
",Positive
278495,"The laboratory administration (for example, grading policy and methods; number, length, and fairness of exams and assignments).
","GRADING WAS HARD WITH THIS PROFESSOR. Fair exams, but workload was too much and too many point deductions for little things
when no rubrics were given. I do not like her grading style and her inability to communicate effectively with her students.
",Negative
255123,"(Optional) Please make written comments which you believe may aid the instructor to maintain current high standards or which you
feel will help to improve course. If a grade of C or lower is given to any of the above questions, the instructors would benefit from
written comments.  Please write comments only in box below.
","This professor is very caring to students when they are facing issues and she always tells us as long as we attend every meeting,
complete assignments and do the exams, we will do well at the end.
",Positive
218053,"Elaborate on any point evaluated above or anything else relevant to the quality of the course or instructor.
","and would definitely recommend it for other students at CSUF.
",Positive
440126,"Please write your additional comments about the class in the box.  Your constructive comments are appreciated.
","Not terribly engaging in an online format.
",Negative
279639,"Please provide comments explaining how well the instructor answered questions.
","answered questions to the best of his ability
",Positive
91772,"You may explain your yes/no answer to question number 4 in the space below.
","Yes we had to add our own perspectives and life experiences
",Ambiguous
211993,"Your instructor would like to know how you feel about the textbook or other learning materials:
","materials are helpful.
",Positive
435545,"Other comments.
","Thank you for working with me this semester .
",Positive
79300,"Please provide an example and/or explanation that illustrates the extent to which the instructor's lectures were clear and organized.
","slides and labs
",Positive
318364,"Your instructor would also like to know what specific things you believe might be done to improve his/her teaching of this course.
","I honestly don't think I have one bad thing to say about his teaching style. The material is tough and he made the exams hard (most of the
time), but it made me become a better math student. I tried to always think outside of the box to make sure I was understanding everything
he was teaching.
",Positive
587592,"What were the strongest features of this class?
","The study guides provided by the Teacher's Aide were very thorough and helped the students learn and understand the material that the
Professor didn't teach us.
",Positive
481047,"What could the instructor do to have improved the course of your learning experience?
","too long of lecture
",Negative
61454,"What could the instructor improve?
","Less personal stories.
",Negative
260759,"Your instructor would also like to know if you wish to suggest any specific things you believe might be done to improve his/her teaching
of this course.
","There needs to be more hands on teaching
",Negative
296353,"Additional comments?
","Cool learning about the 5 forces model. Mid term format was a great idea.
",Positive
581084,"Please write additional comments below.
","Dr. <Faculty Name> has to be one of the best professors I've ever had.  He is willing to discuss hard subject matter and is willing to help in any
way he can, even if he is extremely busy.  He always gave us praise when we would talk in class and he made sure we understood the
subject matter before moving on.  I'm surprised he isn't a full-time professor yet!
",Positive
169156,"What could the instructor improve?
","nothing
",Neutral
560046,"What did the instructor do well?
","lecturing with written notes
",Negative
342522,"What suggestions for improvements do you have?
","My professor could have elaborated the material further more across withing his course.
",Negative
16309,"Please provide an example and/or explanation that illustrates the extent to which the instructor created an environment suitable for
learning.
","Professor Stilley was very approachable and constantly checked in with the class to make sure we understood the material she presented.
She encouraged us to come up with our own examples and had us work in small groups to practice our knowledge.
",Positive
183748,"Please provide your specific comments elaborating on your responses and other aspects of your instructor's teaching performance
and/or course.
","He is a good professor. He helped us when we needed it, and taught us some very interesting topics. Hopefully I can take him again
someday.
",Positive
9384,"Your instructor would also like to know if you wish to suggest any specific things you believe might be done to improve his/her teaching
of this course.
","The final exam could have been different otherwise no issues.
",Neutral
528506,"Please provide any comments about the faculty member's teaching ability:
","The activity where people pretended to have a personality disorder was extremely offensive. However, the instructor is clearly very
knowledgable and passionate about mental health. She was passive aggressive over email but seemed to be very sweet in the lecture
portion of the class (which I could not attend).
",Neutral
48488,"Additional comments?
","Excellent teacher, would consider switching my concentration to take more of his classes.
",Positive
120548,"What could the instructor do to have improved the course?
","Nothing, I believe the instructor did a great job.
",Positive
1377,"Please provide comments regarding your overall rating of this course (using comparable general education, upper division courses,
major or elective courses as criteria). 
","The overall course was quite different than what was expected and actually encouraged thinking of present day and historical information
which I admired and liked.
",Positive
262415,"What are the major strengths of the instructor of this course?
","She shows up on time.
",Positive
530533,"What did the instructor do that you found particularly helpful or worthwhile?
",#NAME?,Positive
431754,"Other comments:
","I know some students complained about everything being due at once. I would suggest maybe pushing the due date for little assignments
sooner and the research paper our later not after thanksgiving break.
",Ambiguous
397711,"Your instructor would like to know whether there is something you believe he/she has done especially well in his/her teaching of this
course.
","She has done really well in being enthusiastic to students who attend her office hours and explaining difficult concepts in new and different
ways if her students don't understand.
",Positive
427880,"What could the instructor do to improve the class?
","The professor's slides can be improved to include at least some information on the test. Same for the study guides. At first it felt as though
I paid $600 for a book recommendation, until I found out that even reading the book was not enough. Considering how certificates in
project management were mentioned, it seems this class was superfluous (unless I paid $600 for advice on what certificates to pursue).
The professor was unprepared for the some Excel and Project assignments, so we had to rely on other students' explanations. Mac
students were in a worse spot, with almost no guidance on anything, but I wouldn't expect the professor to be familiar with EVERY
operating system. At the end of each exam, I found myself wondering if I learned anything at all. Surely, if anything from the book I bought
or the lectures I spent time attending were important, it would have applied in the exam or homework? If the end result is me learning from
outside sources (ex. YouTube guides), or learning Excel from supplementary material from another class, then I wonder the value of my
investment here.
",Negative
14092,"Your instructor would like to know your opinion about the textbook and/or other reading materials.
","Never used the textbook. Only used the PPT slides
",Ambiguous
250940,"What could the instructor do to have improved the course of your learning experience?
","posted lectures on titanium
",Positive
239134,"Other Comments:
","Thank you for an awesome semester. Professor <Faculty Name> is a gem!
",Positive
189773,"What could the instructor improve?
","Nothing I think he’s a great professor
",Positive
250567,"What aspects of the course contributed the most to your learning experience?
","I am aspiring to be an accountant and this class is a foundation for my educational career.
",Positive
196206,"What aspects of the course contributed the most to your learning experience?
","Guest speakers and the good examples the professor had.
",Positive
549821,"What feedback would you like to provide the instructor about teaching effectiveness and/or course content?
","Two of our entire Zoom meetings were dedicated to each student demonstrating a Science experiment.  We had at least six weeks where
we could have learned about how to create a unit plan, yet we only talked about the reading comprehension and feelings about Science.
We could have been working each week on lesson plans so that by the time our unit plan was due, it was created because we had been
working on it the whole time.  We could have been discussing it during Zoom sessions to learn more about it, but that's not what
happened.
",Neutral
247018,"What did the instructor do well?
","He is very organized and listens to his students. The quizzes every week helped to keep me on track with the learning material
",Positive
35350,"Your instructor would also like to know what specific things you believe might be done to improve his/her teaching of this course.
","The way working with others was so vital to passing this course seemed inappropriate for the subject. Group projects were incredibly
difficult not because of the assignment itself but because it was extremely frustrating trying to coordinate with other to do math equations.
overall the class made me feel like I was in middle school. The hardest part of this class was having to deal with social anxiety which I
would never think would happen in a math class. 
",Negative
413918,"Your instructor would like to know if there is something you believe he/she has done especially well in his/her teaching of this course.
","Good response time in replying back
",Positive
155072,"Your instructor would also like to know if you wish to suggest any specific things you believe might be done to improve his/her teaching
of this course.
","Professor <Faculty Name> provides the necessary information to complete the assignments, but does not provide proper instructions on what is
expected. I found myself confused, and nervous about upcoming assignments because I was uncertain about how to complete the
projects. The assignments are interesting, however, the lack of clear expectations and instructions made them difficult. Lastly, the
professor is a bit rude when responding to students. There were times in the semester where I felt as if Professor <Faculty Name> was bothered to
answer my emails. I am glad that she responded, but always felt like she was unapproachable. Nonetheless, Professor is a knowledgeable
teacher, and has created an interesting class.
",Ambiguous
331997,"Please provide an example and/or an explanation that illustrates the instructor's academic standards for this course. Please also
provide an example and/or an explanation that illustrates the extent to which the instructor met his/her teaching responsibilities by
starting class on time, being available during office hours, returning assignments promptly and using class time effectively.
","Students are expected to allocate a lot of time and effort for this course, and conceptual understanding is constantly being quizzed
",Neutral
548859,"You may explain your yes/no answer to question number 3 in the space below.
","Yes, I liked how we always had discussions in class. It was nice to see the other perspectives of my fellow peers.
",Positive
573882,"What recommendations do you have to improve this course?
","Having more group assignments.
",Positive
53223,"Please provide your specific comments elaborating on your responses and other aspects of your instructor's teaching performance
and/or course.
","Professor <Faculty Name> does an excellent job relating to her students as well as engaging them. She is passionate about the material she teaches
and shows she cares how her students perceive the information she presents.
",Positive
50891,"Please provide your specific comments elaborating on your responses and other aspects of your instructor's teaching performance
and/or course.
","Professor is invested in course and students and I appreciate the interest and time he puts into the class. 
",Positive
578972,"The laboratory administration (for example, grading policy and methods; number, length, and fairness of exams and assignments).
","grading could have been more specified
",Neutral
521479,"In your opinion, what did the instructor do that you found particularly helpful or worthwhile?
","Prompting discussions as we went through the powerpoint on various topics
the powerpoint slides
The Warm up / Dance combo/ cool down assignment where we had to film ourselves giving a lesson
",Neutral
34437,"Please provide comments explaining how well the instructor followed grading and other policies stated in the syllabus.
","Followed all grading and other policies in the syllabus. 
",Positive
396746,"Additional comments:
","great instructor
",Positive
378567,"What did the instructor do well?
",<Faculty Name>,Ambiguous
424845,"What did the instructor do that you found particularly helpful or worthwhile?
","I love how professor <Faculty Name> was always available to help us, she really does in-depth when explaining certain concepts during office hours.
This really helped me grasp a better understanding of the concepts. The assignments she gave were clear and straightforward. Even
though some were challenging, it gave me time to think through the concepts and think about them. Also, Professor <Faculty Name> always gave us
feedback on our assignments, and sometimes it would be in an audio format, indicating that she really takes her time to help her students
and encourage them to seek out information. She was also willing to cooperate with us and give us extra time to complete our
assignments, especially during the Irvine fire. I also love how she gives her announcements through a video format since it shows that she
wants to interact with her class in different ways and make the course interesting
",Positive
493747,"Other comments?
","explains really well
",Positive
77104,"Your instructor would also like to know what specific things you believe might be done to improve his/her teaching of this course.
","Maybe try to control the students that act up or ask them to leave because it gets very distracting. 
",Negative
539120,"What could the instructor do to improve the class?
","No reccomendation, class is very well layed out and efficient. I like the current methods
",Positive
185913,"What could you have done to improve your learning experience in this course?
","I should have made a more consistent effort to prepare for lectures by reading the textbook before arriving to class. This would have given
me better understanding of certain concepts and terminology.
",Positive
315945,"Your instructor would also like to know if you wish to suggest any specific things you believe might be done to improve his/her teaching
of this course.
","Professor <Faculty Name> made it difficult to ask questions in his course as he would not wait for the question to end and then would talk over the
student. This frustrated one of our students enough to walk out of the class and affected my interest in the course. A little respect for the
people you are teaching goes a long way in creating an environment where students want to hear what you have to say.
",Negative
218815,"Please provide any comments about the faculty member's teaching ability:
","Non-assuming and clearly understands the needs of the students. Strives to meet the needs of each student.  Able to guide the various
groups in achieving set goals in a timely manner.
",Positive
351245,"What did the instructor do that you found particularly helpful?
","Answered questions
",Positive
417362,"Additional Comments:
","Workloads are heavy, but i can learn a lot.
",Neutral
481483,"Your instructor would also like to know what specific things you believe might be done to improve his/her teaching of this course.
","To speed it up a little faster
",Negative
487647,"What could the instructor do to improve the class?
","She can possibly make the lectures a bit more engaging but that's about it.
",Negative
248580,"What could you have done to improve your learning experience in this course?
","I did not study for the first exam properly. Because of the time Dr. <Faculty Name> spent with me individually via Zoom, I feel much more confident
going into the final exam with regards to my studying method.
",Positive
394064,"Please provide comments explaining how well the instructor answered questions.
","Professor <Faculty Name> answered any questions we had about any of the material or lessons being taught in our class but he also tried his best
to answer any of our general questions about music, given that we are all at the beginning stages of learning music.
",Positive
391825,"Other Comments:
","very nice professor. my favorite math professor ever!
",Positive
357051,"Please give feedback on what you found effective about the instructor’s teaching style.
","<Faculty Name> Questions were very fun and helped prepare us for the exams
",Positive
107342,"Please use the space below to provide additional comments about the instruction in this course. If you wish, include comments about
what you think the instructor has done particularly well, suggestions for possible improvements or changes, and/or explanations for
your responses to the above statements. Thank you.
","Professor <Faculty Name> is a fantastic professor. CSUF is lucky to have an amazing instructor. He provided courteous criticism which enabled
me to ask questions without being intimidated.  The instructional videos and additional learning materials that were extremely helpful.
Every assignment was provided with adequate instructions to fulfill the assignment.
",Positive
240620,"What did the instructor do that you found particularly helpful?
","Titanium was easy access and in order
",Positive
48474,"What could the instructor improve?
","Talking slower. 
",Negative
81162,"Please give suggestions on how this class can be improved.
","Professor tends to be very strict when grading, in ways that doesn't help the student. This should be changed as it is designed to help the
professor and is not in the interest of the student.
",Negative
212406,"Additional comments:
",<Faculty Name>,Ambiguous
232742,"Please write your comments, positive and/or negative, that point out specific good or bad features of instruction in this class.  Your
constructive comments can be helpful to the instructor and to the department in improving the quality of instruction.
","Professor <Faculty Name> is very passionate about Astronomy, and has been an amazing professor! Her test are very fair, and she has put a great
amount of time into her pre-recorded lectures and zoom meetings during this online virtual instruction. She ultimately wants the best for
her students, and wants them all to succeed. I wish all professors were like Professor <Faculty Name>.
",Positive
238393,"What were the strongest features of this class?
","The syllabus and the assignment instructions were clear and easy to understand.  The case studies encouraged critical thinking and built
my confidence when expressing my opinion.
",Positive
502583,"Please provide your specific comments elaborating on your responses and other aspects of your instructor's teaching performance
and/or course.
","Professor <Faculty Name> is a great instructor she always responds right away via email if you have a question or problem.
",Positive
33426,"Your instructor would also like to know what specific things you believe might be done to improve his/her teaching of this course.
","Release a step by step instruction on how to use r properly. 
",Negative
306387,"What feedback would you like to provide the instructor?
","She provided support during the online transition during cycle 2 but during cycle 1 she wasn’t very supportive or sympathetic to our stress.
",Neutral
433209,"What did the instructor do well?
","Was very organized on <Faculty Name>.
",Positive
